epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1083,1.39724,3.33945,1.4553,0.16863,0.44638,0.17947,0.09381,1.57194,2.785,1.69638,0.00330435,0.00330435,0.00330435
2,100.08,1.2316,2.42955,1.3493,0.2206,0.54522,0.26419,0.1554,1.47192,2.19552,1.6124,0.00660482,0.00660482,0.00660482
3,134.919,1.21101,2.17201,1.32332,0.20813,0.49454,0.21532,0.10924,1.6544,2.52843,1.84617,0.0098723,0.0098723,0.0098723
4,180.136,1.21218,2.07988,1.32309,0.23791,0.40536,0.1934,0.10399,1.75887,2.80747,1.9734,0.0098515,0.0098515,0.0098515
5,218.001,1.18185,1.99225,1.30755,0.19624,0.38004,0.17456,0.08154,1.90786,3.28506,2.2198,0.009802,0.009802,0.009802
6,254.353,1.16407,1.89195,1.29201,0.38474,0.54012,0.3612,0.20504,1.57086,1.97155,1.77235,0.0097525,0.0097525,0.0097525
7,291.796,1.13701,1.83879,1.28172,0.37391,0.53697,0.41025,0.20141,1.7824,2.02361,1.99151,0.009703,0.009703,0.009703
8,330.653,1.13175,1.77025,1.27295,0.44179,0.5647,0.45212,0.2545,1.54244,1.94362,1.74471,0.0096535,0.0096535,0.0096535
9,366.157,1.10544,1.70464,1.24928,0.44687,0.50569,0.48694,0.2814,1.48813,1.72958,1.72068,0.009604,0.009604,0.009604
10,400.455,1.09619,1.65037,1.245,0.31623,0.59552,0.45293,0.26125,1.4375,1.9011,1.61759,0.0095545,0.0095545,0.0095545
11,437.643,1.08698,1.62781,1.23996,0.42432,0.54134,0.42798,0.24122,1.56368,1.88868,1.84056,0.009505,0.009505,0.009505
12,474.022,1.07466,1.58193,1.23275,0.45768,0.59301,0.50399,0.2913,1.45837,1.58652,1.6833,0.0094555,0.0094555,0.0094555
13,508.849,1.05759,1.5393,1.2258,0.3911,0.51381,0.35146,0.19983,1.54386,2.21212,1.77784,0.009406,0.009406,0.009406
14,546.054,1.04723,1.51501,1.21774,0.51049,0.64483,0.61131,0.37624,1.34514,1.35778,1.56732,0.0093565,0.0093565,0.0093565
15,584.305,1.0317,1.46407,1.20118,0.56373,0.6478,0.62061,0.37535,1.36564,1.32044,1.57898,0.009307,0.009307,0.009307
16,618.879,1.0346,1.45076,1.20546,0.48962,0.59448,0.5044,0.31455,1.41523,1.65301,1.64468,0.0092575,0.0092575,0.0092575
17,654.26,1.02093,1.41704,1.19913,0.45707,0.55871,0.51217,0.27889,1.4963,1.5392,1.6771,0.009208,0.009208,0.009208
