epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.548,3.42688,4.35745,3.99705,0.00077,0.05773,0.00059,0.00011,2.88946,4.08069,3.63097,0.000330435,0.000330435,0.000330435
2,566.853,2.73646,3.73028,3.11241,0.13164,0.25868,0.09381,0.04854,2.27536,3.64382,2.82334,0.000659387,0.000659387,0.000659387
3,755.566,2.28459,3.23164,2.57105,0.09102,0.24046,0.07968,0.0433,2.17637,3.76431,2.75857,0.00098394,0.00098394,0.00098394
4,1025.05,2.04325,3.0012,2.32774,0.46558,0.39305,0.12464,0.06628,2.02749,2.93847,2.5837,0.0009802,0.0009802,0.0009802
5,1154.55,1.90431,2.82202,2.17389,0.31558,0.39461,0.1259,0.07053,2.02562,3.05815,2.66766,0.0009736,0.0009736,0.0009736
6,1356.85,1.79974,2.72162,2.07423,0.18694,0.42799,0.13849,0.07598,1.86759,2.79484,2.48462,0.000967,0.000967,0.000967
7,1601.19,1.74696,2.65004,2.01483,0.16407,0.41996,0.14447,0.08408,1.88264,2.74113,2.49822,0.0009604,0.0009604,0.0009604
8,1722.94,1.68237,2.58053,1.95485,0.18748,0.47171,0.15876,0.09203,1.80673,2.45216,2.23508,0.0009538,0.0009538,0.0009538
9,1842.51,1.65095,2.55031,1.91122,0.18886,0.44322,0.16229,0.09662,1.73926,2.48149,2.20702,0.0009472,0.0009472,0.0009472
10,1991.38,1.62937,2.50904,1.88885,0.21775,0.481,0.17625,0.10277,1.77033,2.52145,2.28166,0.0009406,0.0009406,0.0009406
11,2142.01,1.59606,2.4883,1.86693,0.21982,0.52974,0.19711,0.10816,1.67708,2.34709,2.09299,0.000934,0.000934,0.000934
12,2265.09,1.56822,2.45929,1.84773,0.19612,0.52746,0.18673,0.10662,1.66957,2.27382,2.11372,0.0009274,0.0009274,0.0009274
13,2463,1.55013,2.42027,1.80834,0.20909,0.52756,0.19226,0.10824,1.7047,2.36177,2.15982,0.0009208,0.0009208,0.0009208
14,2617.63,1.55494,2.40205,1.79452,0.23027,0.57584,0.21671,0.12474,1.60451,2.16366,2.02946,0.0009142,0.0009142,0.0009142
15,2850.3,1.50862,2.38585,1.78172,0.2176,0.51053,0.19175,0.10336,1.74599,2.57198,2.30074,0.0009076,0.0009076,0.0009076
