epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11695.4,0.96326,1.24675,1.25264,0.78314,0.76194,0.834,0.59801,1.07795,1.28302,1.494,0.0007294,0.0007294,0.0007294
43,11931.8,0.95603,1.22939,1.24625,0.79712,0.77847,0.84765,0.60501,1.04243,0.97462,1.49874,0.0007228,0.0007228,0.0007228
44,12341.6,0.9409,1.20883,1.23512,0.72215,0.79092,0.82136,0.59036,1.03434,1.07882,1.50376,0.0007162,0.0007162,0.0007162
45,12574.4,0.93932,1.2048,1.22775,0.77051,0.82742,0.85632,0.61394,1.04381,1.01509,1.46112,0.0007096,0.0007096,0.0007096
46,12881.6,0.92735,1.19009,1.22958,0.79676,0.80101,0.8527,0.61174,1.03787,0.95885,1.46929,0.000703,0.000703,0.000703
47,13128.7,0.91424,1.1459,1.21875,0.80928,0.80526,0.86002,0.61793,1.06387,0.83191,1.54486,0.0006964,0.0006964,0.0006964
48,14116.2,0.92478,1.16633,1.22409,0.805,0.79542,0.85356,0.61358,1.02752,0.93902,1.50275,0.0006898,0.0006898,0.0006898
49,14353.9,0.90525,1.13563,1.20337,0.77386,0.82342,0.85607,0.61091,1.10205,1.17873,1.53048,0.0006832,0.0006832,0.0006832
50,14592.8,0.91426,1.13488,1.21346,0.799,0.79101,0.86568,0.63096,1.02567,0.93654,1.49822,0.0006766,0.0006766,0.0006766
51,14828.6,0.90207,1.12524,1.20254,0.80708,0.83176,0.88123,0.64786,0.99743,0.9606,1.42401,0.00067,0.00067,0.00067
52,15065.7,0.89754,1.1024,1.19303,0.81772,0.82357,0.87144,0.63139,1.02366,0.89797,1.47618,0.0006634,0.0006634,0.0006634
53,15293.9,0.90005,1.11839,1.20042,0.78757,0.82599,0.86904,0.63997,0.96453,1.03372,1.40596,0.0006568,0.0006568,0.0006568
54,15531.2,0.89066,1.09723,1.19654,0.82966,0.82853,0.88123,0.6493,0.99373,0.88793,1.45865,0.0006502,0.0006502,0.0006502
55,15769.1,0.88154,1.09216,1.1892,0.81192,0.85836,0.89004,0.65349,0.98371,0.78372,1.40661,0.0006436,0.0006436,0.0006436
56,16087.3,0.87889,1.07931,1.18712,0.84912,0.79535,0.8748,0.644,0.96327,0.81478,1.40845,0.000637,0.000637,0.000637
57,16319.5,0.86051,1.04524,1.17383,0.82812,0.81576,0.87506,0.65055,0.95188,0.81108,1.41791,0.0006304,0.0006304,0.0006304
58,16556,0.86168,1.05266,1.17809,0.82607,0.83853,0.88684,0.65626,0.96996,0.94325,1.40189,0.0006238,0.0006238,0.0006238
59,16833.5,0.86763,1.04509,1.17418,0.86106,0.82197,0.89309,0.66944,0.91509,0.82675,1.40173,0.0006172,0.0006172,0.0006172
60,17063,0.85382,1.03258,1.16514,0.84411,0.82572,0.89439,0.6692,0.97671,0.84457,1.41976,0.0006106,0.0006106,0.0006106
61,17301.4,0.85106,1.04507,1.17389,0.827,0.8606,0.89679,0.66339,0.97197,0.76245,1.4261,0.000604,0.000604,0.000604
62,17656.4,0.84971,1.03422,1.17075,0.84299,0.83498,0.89438,0.67291,0.9378,0.79612,1.40039,0.0005974,0.0005974,0.0005974
63,17914.3,0.84333,1.0092,1.15839,0.84524,0.8372,0.90037,0.67166,0.93949,0.72492,1.40465,0.0005908,0.0005908,0.0005908
64,18169.4,0.83315,0.99834,1.1563,0.84109,0.85874,0.90932,0.68912,0.91523,0.73606,1.36771,0.0005842,0.0005842,0.0005842
65,18425.8,0.82307,0.98949,1.14944,0.86402,0.8383,0.89949,0.67776,0.91224,0.76913,1.36185,0.0005776,0.0005776,0.0005776
66,18671.1,0.83478,0.99991,1.15913,0.84977,0.85879,0.90146,0.67768,0.96322,0.82997,1.42696,0.000571,0.000571,0.000571
67,19012,0.83074,0.99588,1.16401,0.85847,0.8627,0.90336,0.67115,0.92741,0.84709,1.38228,0.0005644,0.0005644,0.0005644
68,19260.3,0.82364,0.98326,1.15315,0.8507,0.85356,0.90047,0.67686,0.91601,0.73066,1.38459,0.0005578,0.0005578,0.0005578
69,19501.5,0.81633,0.96945,1.15003,0.85196,0.84411,0.89638,0.67949,0.90971,0.88154,1.37102,0.0005512,0.0005512,0.0005512
70,19742,0.81064,0.9574,1.14311,0.8878,0.81703,0.9023,0.69059,0.90302,0.70782,1.36131,0.0005446,0.0005446,0.0005446
71,20091.5,0.81077,0.96318,1.13567,0.83855,0.86761,0.90546,0.68814,0.93829,0.73597,1.35542,0.000538,0.000538,0.000538
72,20429.7,0.81135,0.9693,1.14673,0.84795,0.85856,0.90607,0.69512,0.89645,0.72902,1.34413,0.0005314,0.0005314,0.0005314
73,20675.7,0.79924,0.95181,1.14269,0.84058,0.88781,0.91357,0.7039,0.87694,0.76652,1.31277,0.0005248,0.0005248,0.0005248
74,21148.2,0.80294,0.9552,1.13987,0.87958,0.85303,0.91644,0.70127,0.9007,0.77042,1.34996,0.0005182,0.0005182,0.0005182
75,21378,0.80295,0.95133,1.13769,0.85178,0.86856,0.91083,0.70422,0.87714,0.68099,1.31445,0.0005116,0.0005116,0.0005116
76,21609.4,0.78718,0.92433,1.12564,0.84712,0.87337,0.89976,0.68976,0.8839,0.68651,1.35085,0.000505,0.000505,0.000505
