epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8641,1.36524,3.11731,1.45244,0.18747,0.57106,0.19304,0.10197,1.62495,2.52071,1.81488,0.000300365,0.000300365,0.000300365
2,99.4949,1.20286,2.23184,1.35046,0.23361,0.53677,0.26874,0.15067,1.58027,2.1718,1.7502,0.000597392,0.000597392,0.000597392
3,133.123,1.16714,2.05253,1.31059,0.28675,0.50176,0.30338,0.1636,1.59189,2.16172,1.78553,0.000888419,0.000888419,0.000888419
4,164.491,1.15208,1.96275,1.29487,0.35354,0.59964,0.31972,0.17234,1.61256,2.24403,1.83139,0.000882003,0.000882003,0.000882003
5,195.324,1.1222,1.86364,1.27611,0.25965,0.54854,0.31226,0.14489,1.69607,2.22131,1.84527,0.000873004,0.000873004,0.000873004
6,226.569,1.10704,1.78709,1.26204,0.38671,0.54375,0.44669,0.25648,1.54984,1.74941,1.7042,0.000864004,0.000864004,0.000864004
7,257.424,1.08149,1.72666,1.25311,0.44242,0.58236,0.50577,0.28521,1.50076,1.67206,1.67847,0.000855005,0.000855005,0.000855005
8,288.35,1.0795,1.66148,1.24554,0.47448,0.52432,0.48324,0.27881,1.49788,1.64782,1.68629,0.000846006,0.000846006,0.000846006
9,325.653,1.05408,1.59668,1.22263,0.4526,0.60533,0.48746,0.27774,1.52424,1.68676,1.68935,0.000837007,0.000837007,0.000837007
10,356.334,1.03757,1.53837,1.21526,0.52056,0.62253,0.59004,0.35709,1.39801,1.39125,1.6107,0.000828008,0.000828008,0.000828008
11,387.043,1.02924,1.51852,1.2128,0.42564,0.5612,0.47961,0.2868,1.4642,1.5496,1.64686,0.000819009,0.000819009,0.000819009
12,418.817,1.02039,1.4764,1.20461,0.52099,0.62879,0.57034,0.3398,1.43693,1.43326,1.66061,0.00081001,0.00081001,0.00081001
13,450.191,1.00276,1.43338,1.19721,0.54455,0.64673,0.60463,0.37389,1.37336,1.34189,1.58245,0.000801011,0.000801011,0.000801011
14,481.017,0.99772,1.41234,1.19354,0.59518,0.64887,0.63239,0.39259,1.35465,1.29855,1.55886,0.000792012,0.000792012,0.000792012
15,512.165,0.98183,1.36147,1.17806,0.59264,0.64596,0.63091,0.38954,1.38242,1.27445,1.58162,0.000783013,0.000783013,0.000783013
16,543.291,0.97936,1.34461,1.17722,0.58249,0.6555,0.63875,0.39949,1.34035,1.22493,1.54886,0.000774013,0.000774013,0.000774013
17,574.321,0.97297,1.31209,1.17481,0.59471,0.70173,0.67044,0.42946,1.32547,1.17211,1.51727,0.000765014,0.000765014,0.000765014
18,605.043,0.95483,1.28016,1.16415,0.62289,0.70472,0.68775,0.44455,1.30105,1.09536,1.49576,0.000756015,0.000756015,0.000756015
19,635.796,0.95444,1.25639,1.16332,0.63164,0.6624,0.66996,0.41179,1.34623,1.18365,1.55845,0.000747016,0.000747016,0.000747016
20,666.509,0.94535,1.24264,1.1569,0.61809,0.69903,0.70397,0.44244,1.32917,1.10189,1.53137,0.000738017,0.000738017,0.000738017
21,697.422,0.92874,1.21264,1.1517,0.60623,0.69278,0.65714,0.41296,1.32493,1.15624,1.54827,0.000729018,0.000729018,0.000729018
22,728.586,0.93049,1.19591,1.14945,0.69585,0.68037,0.72249,0.46891,1.2508,1.03245,1.46114,0.000720019,0.000720019,0.000720019
23,759.256,0.92571,1.17862,1.14915,0.62046,0.74336,0.70047,0.45327,1.27982,1.06422,1.49172,0.00071102,0.00071102,0.00071102
24,790.135,0.92262,1.15503,1.14101,0.59681,0.708,0.67301,0.444,1.25781,1.12671,1.47669,0.000702021,0.000702021,0.000702021
25,821.356,0.91713,1.14869,1.13981,0.67664,0.70096,0.7114,0.44896,1.30994,1.08369,1.51441,0.000693022,0.000693022,0.000693022
26,852.101,0.90958,1.13657,1.13604,0.66058,0.75617,0.75311,0.49353,1.25168,0.95232,1.45795,0.000684022,0.000684022,0.000684022
27,884.704,0.89904,1.10136,1.1279,0.69582,0.7202,0.73751,0.49275,1.23271,0.97107,1.44499,0.000675023,0.000675023,0.000675023
28,921.845,0.89465,1.09593,1.12975,0.75619,0.7189,0.78281,0.53006,1.20304,0.87602,1.41398,0.000666024,0.000666024,0.000666024
29,957.329,0.88595,1.08231,1.12463,0.71637,0.74615,0.79457,0.53299,1.18796,0.88714,1.41279,0.000657025,0.000657025,0.000657025
