epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,85.1275,0.7018,0.81188,0.97586,0.96208,0.83946,0.98747,0.79256,0.77765,1.60877,0.90856,0.000709599,0.000709599,0.000709599
44,86.498,0.70559,0.83461,0.96347,0.96308,0.8538,0.98571,0.80343,0.76475,1.56348,0.90509,0.000713987,0.000713987,0.000713987
45,87.8617,0.65966,0.78821,0.93332,0.96142,0.89553,0.98254,0.81729,0.705,1.48142,0.8795,0.00071781,0.00071781,0.00071781
46,89.2405,0.68985,0.79075,0.95161,0.95688,0.90249,0.97756,0.80619,0.73094,1.43159,0.88719,0.000721066,0.000721066,0.000721066
47,90.7145,0.68845,0.7791,0.94142,0.94984,0.93419,0.9797,0.80868,0.74446,1.37218,0.89654,0.000723757,0.000723757,0.000723757
48,92.2134,0.66298,0.77014,0.91632,0.95205,0.96756,0.98254,0.81696,0.74737,1.3432,0.90045,0.000725882,0.000725882,0.000725882
49,93.5893,0.65237,0.76862,0.9245,0.94582,0.91155,0.9774,0.82387,0.74394,1.33728,0.88857,0.000727441,0.000727441,0.000727441
50,95.0142,0.6959,0.81021,0.98332,0.94284,0.88983,0.96781,0.80783,0.79435,1.36249,0.93516,0.000728434,0.000728434,0.000728434
51,96.3426,0.71001,0.7926,0.95566,0.93373,0.91547,0.97042,0.7753,0.82939,1.41551,0.95508,0.000721645,0.000721645,0.000721645
52,97.6858,0.64227,0.75111,0.9098,0.95214,0.90771,0.97278,0.79482,0.76134,1.37087,0.9214,0.000707498,0.000707498,0.000707498
53,99.0503,0.71222,0.80358,0.97454,0.95306,0.8678,0.97827,0.80459,0.72816,1.33189,0.90794,0.000693351,0.000693351,0.000693351
54,100.415,0.65013,0.77666,0.91226,0.97441,0.87362,0.988,0.82369,0.71724,1.30253,0.90444,0.000679204,0.000679204,0.000679204
55,101.828,0.68817,0.80411,0.98648,0.96712,0.8459,0.98762,0.82718,0.72791,1.26882,0.91078,0.000665057,0.000665057,0.000665057
56,103.2,0.70471,0.7697,0.94776,0.94301,0.92853,0.98938,0.81376,0.74172,1.15552,0.91716,0.000650909,0.000650909,0.000650909
57,104.589,0.63403,0.78541,0.93291,0.99283,0.96336,0.99333,0.81885,0.75184,1.03548,0.92806,0.000636762,0.000636762,0.000636762
58,105.973,0.64738,0.76769,0.94053,0.97531,0.93672,0.99128,0.82683,0.72316,0.94779,0.91646,0.000622615,0.000622615,0.000622615
59,107.37,0.60483,0.74667,0.91912,0.98517,0.96612,0.99333,0.82281,0.71925,0.9192,0.91068,0.000608468,0.000608468,0.000608468
60,108.702,0.58834,0.73379,0.9193,0.97749,0.92701,0.97429,0.79963,0.72348,0.88523,0.91292,0.000594321,0.000594321,0.000594321
61,110.061,0.65557,0.79536,0.93615,0.98095,0.94658,0.97467,0.79247,0.71362,0.81564,0.91723,0.000580174,0.000580174,0.000580174
62,111.451,0.60368,0.70951,0.91369,0.93635,0.94401,0.98167,0.80573,0.71473,0.76857,0.92328,0.000566027,0.000566027,0.000566027
63,112.83,0.61925,0.698,0.89046,0.92039,0.94881,0.995,0.81407,0.71513,0.72166,0.9274,0.00055188,0.00055188,0.00055188
64,114.147,0.57027,0.65185,0.89306,0.98278,0.88889,0.98041,0.81822,0.71693,0.69824,0.92117,0.000537733,0.000537733,0.000537733
65,115.512,0.61683,0.72693,0.93133,0.91354,0.96663,0.98859,0.80737,0.74123,0.64719,0.92512,0.000523586,0.000523586,0.000523586
66,116.864,0.60044,0.7147,0.94113,0.97669,0.967,0.99295,0.79003,0.78415,0.6171,0.94611,0.000509438,0.000509438,0.000509438
67,118.197,0.6691,0.69747,0.96128,0.98336,0.97222,0.99295,0.80208,0.78703,0.62733,0.94581,0.000495291,0.000495291,0.000495291
68,119.568,0.59457,0.70361,0.92927,0.97723,0.94464,0.98833,0.79405,0.78616,0.64908,0.93975,0.000481144,0.000481144,0.000481144
69,121.003,0.61687,0.68152,0.90535,0.9367,0.96385,0.98359,0.81872,0.75108,0.66492,0.92664,0.000466997,0.000466997,0.000466997
70,122.36,0.60358,0.69204,0.91335,0.97605,0.96312,0.97358,0.80929,0.73886,0.68534,0.92823,0.00045285,0.00045285,0.00045285
71,123.718,0.61179,0.69362,0.90766,0.9867,0.95437,0.97074,0.78849,0.71457,0.68597,0.92303,0.000438703,0.000438703,0.000438703
72,125.079,0.57071,0.65847,0.91765,0.98113,0.96531,0.97062,0.79688,0.72132,0.6533,0.92439,0.000424556,0.000424556,0.000424556
73,126.443,0.60151,0.70101,0.93819,0.97792,0.97222,0.97048,0.79289,0.75024,0.63991,0.93887,0.000410409,0.000410409,0.000410409
74,127.972,0.59683,0.67737,0.94743,0.99109,0.97222,0.97803,0.80305,0.74797,0.61902,0.93058,0.000396262,0.000396262,0.000396262
75,129.283,0.57787,0.68981,0.89962,0.98458,0.97222,0.98716,0.82521,0.72931,0.58063,0.91281,0.000382115,0.000382115,0.000382115
76,130.681,0.55903,0.66167,0.88986,0.97506,0.97222,0.99119,0.83141,0.71844,0.54967,0.90801,0.000367967,0.000367967,0.000367967
77,132.04,0.64777,0.70732,0.95772,0.96219,0.97222,0.99119,0.82623,0.72123,0.53289,0.91228,0.00035382,0.00035382,0.00035382
78,133.391,0.52711,0.61314,0.89686,0.96535,0.97222,0.99119,0.82416,0.75862,0.5387,0.93911,0.000339673,0.000339673,0.000339673
79,134.789,0.59437,0.65135,0.91949,0.96698,0.97222,0.99119,0.79735,0.81775,0.55423,0.97121,0.000325526,0.000325526,0.000325526
80,136.167,0.58895,0.62753,0.9158,0.96243,0.97222,0.99119,0.7969,0.80996,0.54755,0.96629,0.000311379,0.000311379,0.000311379
81,137.528,0.63696,0.63044,0.91205,0.95853,0.97222,0.99119,0.82244,0.74522,0.52622,0.93528,0.000297232,0.000297232,0.000297232
82,138.893,0.53614,0.61937,0.88242,0.95876,0.97222,0.99119,0.82979,0.70966,0.52533,0.92423,0.000283085,0.000283085,0.000283085
83,140.265,0.53841,0.6031,0.88882,0.95864,0.97222,0.99119,0.83261,0.69835,0.5218,0.92055,0.000268938,0.000268938,0.000268938
84,141.64,0.54466,0.60705,0.88587,0.96584,0.97655,0.99295,0.83022,0.69943,0.51518,0.92077,0.000254791,0.000254791,0.000254791
85,142.993,0.53883,0.58965,0.90991,0.96806,0.97607,0.99295,0.83202,0.70592,0.51517,0.9225,0.000240644,0.000240644,0.000240644
86,144.375,0.52367,0.59443,0.90788,0.96784,0.97477,0.99295,0.81287,0.72909,0.51031,0.93084,0.000226497,0.000226497,0.000226497
87,145.753,0.53907,0.5887,0.89643,0.99396,1,0.995,0.80404,0.74509,0.51236,0.93386,0.000212349,0.000212349,0.000212349
88,147.13,0.52205,0.60007,0.88191,0.99443,1,0.995,0.79424,0.73662,0.50149,0.925,0.000198202,0.000198202,0.000198202
89,148.458,0.51542,0.58938,0.90027,0.99424,1,0.995,0.80638,0.72179,0.49723,0.91575,0.000184055,0.000184055,0.000184055
